split,image_id,file_name,reasons
train,111,pressureGauge_346_jpg.rf.648aff26adb60920e030a043f1182e2e.jpg,image is missing required classes: tip
train,133,240_F_278663360_qgbp5UJW67cKcKX56meDzaOBP8431Zeh_jpg.rf.971fbe37d9eae1f182610c5749c0e539.jpg,image is missing required classes: maximum
train,229,4529260-24_jpg.rf.6a9680e5811acac4dc412d24ecda2004.jpg,image is missing required classes: minimum
train,245,IMG_6339_JPG_jpg.rf.4716b69c78f0644dd85fd307743b7c5c.jpg,image is missing required classes: maximum
train,487,IMG_6361_JPG_jpg.rf.e5779789eb76cb75c4985b4042c06e32.jpg,image is missing required classes: maximum
train,615,240_F_258386509_PcJgP4gZpHcHMmmR1t1uG0ui6OQsxJUC_jpg.rf.ef1f5cea3c3ae3942ef1c9778414ac34.jpg,image is missing required classes: maximum
train,693,40868b20d5424b22bfdd31865984b172_jpeg_jpg.rf.6bea7704aebe3e6d8252aee8e5b1b913.jpg,image is missing required classes: maximum
train,721,4529260-24_jpg.rf.c3d43d99a84fa2f3ced19d2a687ed301.jpg,image is missing required classes: minimum
train,863,IMG_6361_JPG_jpg.rf.d59ce775622a16bd219ef4a2e9ce5c08.jpg,image is missing required classes: maximum
train,1002,7761374d7d614b8196a87ac9537e7c53_jpeg_jpg.rf.c61fe9e9b2ba5412232c221ebca775ed.jpg,image is missing required classes: minimum
train,1295,istockphoto-1271631693-612x612_jpg.rf.d2adbd26c15a224161a0fb58c01cf3d7.jpg,image is missing required classes: maximum
train,1404,240_F_258386509_PcJgP4gZpHcHMmmR1t1uG0ui6OQsxJUC_jpg.rf.20af90596c4fe0f6adc68dd4bec69d64.jpg,image is missing required classes: maximum
train,1479,40868b20d5424b22bfdd31865984b172_jpeg_jpg.rf.12f2b50c64252e9eb656683b05376f63.jpg,image is missing required classes: maximum
train,1575,istockphoto-1332836893-612x612_jpg.rf.2446427b30c2135a8d88ba340ad4ee78.jpg,image is missing required classes: maximum
train,1612,istockphoto-177506603-612x612_jpg.rf.1cf7ea08649624e43410dfbb77bfc2b7.jpg,image is missing required classes: maximum
train,1626,istockphoto-1332836893-612x612_jpg.rf.d5aa874d07cafbc5aaa5799a0e0d0117.jpg,image is missing required classes: maximum
train,1635,istockphoto-119048610-612x612_jpg.rf.912b086d930cd426b33ba376fdada1ff.jpg,image is missing required classes: maximum
train,1745,istockphoto-1271631693-612x612_jpg.rf.cbf1fd1f9edfb4fd18d6712fffea7229.jpg,image is missing required classes: maximum
train,2012,48_jpeg_jpg.rf.c99b835eb2da1848113c0d621912cb7d.jpg,image is missing required classes: maximum
train,2047,istockphoto-177506603-612x612_jpg.rf.615e811a0144dd94b56119969633a889.jpg,image is missing required classes: maximum
train,2093,240_F_278663360_qgbp5UJW67cKcKX56meDzaOBP8431Zeh_jpg.rf.4d425bfb858f07307a5a64503281794a.jpg,image is missing required classes: maximum
train,2243,IMG_6361_JPG_jpg.rf.f77646e0b00f575c2855d424e9fd21e1.jpg,image is missing required classes: maximum
